tweet_id,customer_message,draft_reply,retrieved_evidence,predicted_intent,predicted_response_behavior,predicted_handling,llm_relevance,llm_groundedness,llm_helpfulness,llm_safety,human_relevance,human_groundedness,human_helpfulness,human_safety,human_notes
2647184,@AppleSupport WHY ARE ALL OF MY PICTURES GONE,Thanks for reaching out! We'd like to take a closer look at this with you -- could you send us a DM with a bit more detail so we can help further?,"[1] similarity=1.000 response_type=DM handoff
    historical customer message: @AppleSupport all my pictures are gone, can i get them back?
    historical AppleSupport reply: @584534 We understand how precious your pictures are. Join us in DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT
[2] similarity=1.000 response_type=DM handoff
    historical customer message: @AppleSupport WHY ARE ALL OF MY PICTURES GONE
    historical AppleSupport reply: @746862 We've received your DM and will continue our conversation there.
[3] similarity=0.837 response_type=DM handoff
    historical customer message: @AppleSupport all my pictures are gone 😭😭😭 please help me get them back.
    historical AppleSupport reply: @451514 We will do all we can to help you. DM us which device and OS you're having this issue on, and we'll continue support there. https://t.co/GDrqU22YpT",Apple Music / iCloud Sync & Data Loss,dm_handoff,ESCALATE,5,5,3,5,,,,,
2361751,". @AppleSupport this has become really annoying, my iPhone keeps asking my home network wifi password, when I haven’t changed it. This issue appeared after updating to iOS 11, clean update through iTunes #Applefail https://t.co/CzAN5TBuuT",Thanks for reaching out! In similar cases we've suggested: We're happy to assist. Which iOS 11 version are you currently running? Go to Settings &gt; General &gt; About for the version. Let us know if that helps.,"[1] similarity=1.000 response_type=direct instruction/link
    historical customer message: . @AppleSupport this has become really annoying, my iPhone keeps asking my home network wifi password, when I haven’t changed it. This issue appeared after updating to iOS 11, clean update through iTunes #Applefail https://t.co/CzAN5TBuuT
    historical AppleSupport reply: @667357 We're happy to assist. Which iOS 11 version are you currently running? Go to Settings &gt; General &gt; About for the version.
[2] similarity=0.268 response_type=direct instruction/link
    historical customer message: @115858 fails...#applefail https://t.co/uNBpsvkrQt
    historical AppleSupport reply: @646684 We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/4f8hwT5to6
[3] similarity=0.222 response_type=DM handoff
    historical customer message: Hey @AppleSupport this is really annoying. https://t.co/LF96QPJL9o
    historical AppleSupport reply: @411441 We can help. DM us and we'll meet you there. https://t.co/GDrqU22YpT",Connectivity,direct_instruction,ESCALATE,5,5,3,5,,,,,
968704,@115858 wrf is up with the latest update? Phone is nearly unusable; battery dies from 100% in 3 hrs. Any1 else have this prob?,Thanks for reaching out! In similar cases we've suggested: Let’s get this sorted out together. Send us a DM with more details and we'll go from there. https://t.co/GDrqU22YpT Let us know if that helps.,"[1] similarity=1.000 response_type=confirmation/status
    historical customer message: @115858 wrf is up with the latest update? Phone is nearly unusable; battery dies from 100% in 3 hrs. Any1 else have this prob?
    historical AppleSupport reply: @349955 Let’s get this sorted out together. Send us a DM with more details and we'll go from there. https://t.co/GDrqU22YpT
[2] similarity=0.261 response_type=DM handoff
    historical customer message: @AppleSupport my phone is always at 100% and dies even even it's at 100%. It keeps shitting down. Help!!!! https://t.co/rO8vHCjndA
    historical AppleSupport reply: @609137 We'd like to help you out with your iPhone. Let's continue chatting via DM so we can dig in to this in greater detail. https://t.co/GDrqU22YpT
[3] similarity=0.254 response_type=clarifying question
    historical customer message: my phone dies at 100% @AppleSupport pls help
    historical AppleSupport reply: @194332 That's surely unexpected, but we can help. Which iPhone do you have &amp; what version of iOS is installed?",Battery & Performance,confirmation/status,AUTO-HANDLE,4,5,3,5,,,,,
2450925,So I went through this whole process to get back into my ICloud account and all my saved content (pics/video) is gone. Wtf? @115858,Thanks for letting us know. We'd like to help get as many photos and videos back as possible. Which model do you have and OS version? Steps tried? (Similar cases needed this detail before we could help further.),"[1] similarity=1.000 response_type=clarifying question
    historical customer message: So I went through this whole process to get back into my ICloud account and all my saved content (pics/video) is gone. Wtf? @115858
    historical AppleSupport reply: @702381 We'd like to help get as many photos and videos back as possible. Which model do you have and OS version? Steps tried?
[2] similarity=0.350 response_type=DM handoff
    historical customer message: messages gone again. wtf @115858
    historical AppleSupport reply: @550494  We'd love to help with your messages. Please DM us additional details and we'll be happy to review this further for you. https://t.co/GDrqU22YpT
[3] similarity=0.337 response_type=DM handoff
    historical customer message: ALL MY NOTES FOR RAW ARE GONE WTF @115858
    historical AppleSupport reply: @733715 Let's have a look at this together. Can you please DM us? https://t.co/GDrqU22YpT",Apple Music / iCloud Sync & Data Loss,clarifying_question,AUTO-HANDLE,5,5,3,5,,,,,
745823,Dear @115858 ! The iOS11 is very beautiful but the battery life is terrifyingly bad. This is the worst battery life ever on my iPhone. 😢😕,Thanks for reaching out! In similar cases we've suggested: We'd like to help with this. Have you tried any of the suggestions here: https://t.co/bivpdfBNJ6 Let us know if this helps. Let us know if that helps.,"[1] similarity=1.000 response_type=direct instruction/link
    historical customer message: Dear @115858 ! The iOS11 is very beautiful but the battery life is terrifyingly bad. This is the worst battery life ever on my iPhone. 😢😕
    historical AppleSupport reply: @298307 We'd like to help with this. Have you tried any of the suggestions here: https://t.co/bivpdfBNJ6 Let us know if this helps.
[2] similarity=0.495 response_type=DM handoff
    historical customer message: @115858 can we please get iOS 11.2 already my iPhone X has the worst battery life!
    historical AppleSupport reply: @630982 That should not be happening. Let us help. Tell us more about this in DM. https://t.co/GDrqU22YpT
[3] similarity=0.461 response_type=clarifying question
    historical customer message: @AppleSupport why is the battery life on my iPhone 7 so bad since updating to #iOS11 😡😩🤔
    historical AppleSupport reply: @227674 We want to help with this. Which iOS 11 version are you on currently? Find out in Settings &gt; General &gt; About.",Battery & Performance,direct_instruction,AUTO-HANDLE,5,5,4,5,,,,,
810369,Anyone else having trouble signing in to Apple’s bug reporter right now?  cc @AppleSupport,Thanks for reaching out! In similar cases we've suggested: Be sure to reach out to the developer teams and let them know: https://t.co/LIrs0dB6kH Let us know if that helps.,"[1] similarity=1.000 response_type=direct instruction/link
    historical customer message: Anyone else having trouble signing in to Apple’s bug reporter right now?  cc @AppleSupport
    historical AppleSupport reply: @313081 Be sure to reach out to the developer teams and let them know: https://t.co/LIrs0dB6kH
[2] similarity=0.321 response_type=clarifying question
    historical customer message: Hey @AppleSupport bug reporter isn’t working…
    historical AppleSupport reply: @164776 Are you currently using beta software? If so, is this for macOS or iOS?
[3] similarity=0.292 response_type=clarifying question
    historical customer message: Cc:  @AppleSupport https://t.co/Apfs6wkQSc
    historical AppleSupport reply: @346415 Let's take a look together. Which macOS &amp; iOS versions are installed on your Mac and iPhone?","Account, Purchases & Billing",direct_instruction,ESCALATE,4,5,3,5,,,,,
2710941,So why has the i issue not be fixed @115858 @AppleSupport or am I️ doing something incorrect.,"Thanks for reaching out! In similar cases we've suggested: An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.2. For more info, check out: https://t.co/4f8hwT5to6 Let us know if that helps.","[1] similarity=1.000 response_type=direct instruction/link
    historical customer message: So why has the i issue not be fixed @115858 @AppleSupport or am I️ doing something incorrect.
    historical AppleSupport reply: @761169 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.2. For more info, check out: https://t.co/4f8hwT5to6
[2] similarity=0.714 response_type=direct instruction/link
    historical customer message: Why is the I️ issue fixed yet, @115858?
    historical AppleSupport reply: @630372 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
[3] similarity=0.526 response_type=direct instruction/link
    historical customer message: @AppleSupport WHY IS THE I️ DOING THIS.
    historical AppleSupport reply: @526165 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9",Software / App Bug Report,direct_instruction,AUTO-HANDLE,5,5,4,5,,,,,
1807918,"@AppleSupport how do I disconnect Health from Runkeeper? Health looks like it’s not connected but Runkeeper says otherwise? Pics below, TIA https://t.co/S3TGZM003R",Thanks for reaching out! We'd like to take a closer look at this with you -- could you send us a DM with a bit more detail so we can help further?,"[1] similarity=1.000 response_type=DM handoff
    historical customer message: @AppleSupport how do I disconnect Health from Runkeeper? Health looks like it’s not connected but Runkeeper says otherwise? Pics below, TIA https://t.co/S3TGZM003R
    historical AppleSupport reply: @493747 Try the steps in this article then try turning off Apple Health in Runkeeper: https://t.co/fUZ0NRJxcn Questions? DM us. https://t.co/GDrqU22YpT
[2] similarity=0.232 response_type=DM handoff
    historical customer message: @AppleSupport everything you produce looks like this https://t.co/u2NZuzVhfc
    historical AppleSupport reply: @298753 We certainly want to help you sort out the keyboard! Please send us a DM to look into this together. https://t.co/GDrqU22YpT
[3] similarity=0.220 response_type=other/unclear
    historical customer message: This is what leadership looks like. https://t.co/oWuHpp8U4b
    historical AppleSupport reply: @192579 We'd like to get you to the team that best supports billing. Please reach our iTunes Store here: https://t.co/SDIe7UiyJN",Connectivity,dm_handoff,ESCALATE,4,5,3,5,,,,,
2012128,@AppleSupport 6s went from 48% to 0% battery sitting in my pocket while on battery saver after update. No apps open. How is this possible??,Thanks for letting us know. We know the importance of having great battery life. Which software version is currently running on your phone? (Similar cases needed this detail before we could help further.),"[1] similarity=1.000 response_type=clarifying question
    historical customer message: @AppleSupport 6s went from 48% to 0% battery sitting in my pocket while on battery saver after update. No apps open. How is this possible??
    historical AppleSupport reply: @594976  We know the importance of having great battery life. Which software version is currently running on your phone?
[2] similarity=0.258 response_type=clarifying question
    historical customer message: @AppleSupport I have the 6S
    historical AppleSupport reply: @463293 Do you recall ever signing up for the iOS Beta program or having it installed?
[3] similarity=0.244 response_type=clarifying question
    historical customer message: @AppleSupport i dunno what you did in iOS 11, but my iPhone 7 battery went from 48% to 38% in 5 minutes😒
    historical AppleSupport reply: @756674 We'd be happy to look into the battery drain you experienced. Which iOS 11 version did you experience this on? You can check that by going to Settings &gt; General &gt; About &gt; Version.",Battery & Performance,clarifying_question,AUTO-HANDLE,5,5,4,5,,,,,
2964142,@AppleSupport Just wondering two things:  1 - Why are movies that I *DIDN’T* purchase showing up in my iTunes?  2 - Why do I now have duplicates of movies that I *DID* purchase?  Please help.,Thanks for letting us know. Thanks for reaching out. We'd be happy to help. Which device are you seeing these duplicates and movies you haven't purchased? (Similar cases needed this detail before we could help further.),"[1] similarity=1.000 response_type=clarifying question
    historical customer message: @AppleSupport Just wondering two things:  1 - Why are movies that I *DIDN’T* purchase showing up in my iTunes?  2 - Why do I now have duplicates of movies that I *DID* purchase?  Please help.
    historical AppleSupport reply: @817853 Thanks for reaching out. We'd be happy to help. Which device are you seeing these duplicates and movies you haven't purchased?
[2] similarity=0.320 response_type=DM handoff
    historical customer message: @AppleSupport I have a question about an iTunes purchase could you help me ?
    historical AppleSupport reply: @217575 We'll do whatever we can to help. DM us your question. https://t.co/GDrqU22YpT
[3] similarity=0.254 response_type=direct instruction/link
    historical customer message: @AppleSupport I linked my Movies Anywhere account to iTunes (previously DMA) and my movies aren’t showing up. How long does it take?
    historical AppleSupport reply: @328751 We'd like to help. Check to see if the account is connected by using this article: https://t.co/xiuoPRIe9L",Apple Music / iCloud Sync & Data Loss,clarifying_question,ESCALATE,5,5,4,5,,,,,
1220007,"iOS 11 ou la fin de l'iPhone 6. Depuis l'installation du iOS plus rien ne marche, merci @AppleSupport",Thanks for reaching out! In similar cases we've suggested: We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj Let us know if that helps.,"[1] similarity=1.000 response_type=direct instruction/link
    historical customer message: iOS 11 ou la fin de l'iPhone 6. Depuis l'installation du iOS plus rien ne marche, merci @AppleSupport
    historical AppleSupport reply: @406229 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
[2] similarity=0.284 response_type=direct instruction/link
    historical customer message: Depuis ios11 le Wi-fi et le Bluetooth du centre de contrôle ne servent plus à rien! Ne se désactivent pas et s’activent tous seuls @115858
    historical AppleSupport reply: @330318 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
[3] similarity=0.219 response_type=direct instruction/link
    historical customer message: @AppleSupport Le capteur de proximité ne marche pas sur l'iPhone lorsqu'on récupère un appel initié depuis l'#AppleWatch
    historical AppleSupport reply: @390859 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj",Connectivity,direct_instruction,AUTO-HANDLE,5,5,3,5,,,,,
548202,"Damn the #iPhone 5S , become stupid with ios 11 , I want to buy #note8 @115858 @125607",Thanks for reaching out! We'd like to take a closer look at this with you -- could you send us a DM with a bit more detail so we can help further?,"[1] similarity=1.000 response_type=other/unclear
    historical customer message: Damn the #iPhone 5S , become stupid with ios 11 , I want to buy #note8 @115858 @125607
    historical AppleSupport reply: @247568 You’re in the right place for help. Tell us what’s happening with your iPhone, and we’ll partner with you to work towards a resolution.
[2] similarity=0.276 response_type=DM handoff
    historical customer message: Why are all my screenshots Black? 😳 @115858 stupid ios 11😣
    historical AppleSupport reply: @610837 We want to help. Send us a DM and let us know the device this is occurring with and the exact version of iOS 11. https://t.co/GDrqU22YpT
[3] similarity=0.255 response_type=DM handoff
    historical customer message: @AppleSupport my iPhone 5S is too bad with this IOS 11
    historical AppleSupport reply: @573658 We'd love to help with your iPhone. Can you DM is a little more detail on what's happening with your iPhone exactly on iOS 11? https://t.co/GDrqU22YpT",Battery & Performance,unclear,ESCALATE,4,5,2,5,,,,,
2302116,.@AppleSupport Can we get a iMessage app for our contacts?,Thanks for reaching out! In similar cases we've suggested: We appreciate your feedback. Let us know about iMessage features you'd like to see implemented here: https://t.co/eTPVYVFyd8 Let us know if that helps.,"[1] similarity=1.000 response_type=direct instruction/link
    historical customer message: .@AppleSupport Can we get a iMessage app for our contacts?
    historical AppleSupport reply: @574954 We appreciate your feedback. Let us know about iMessage features you'd like to see implemented here: https://t.co/eTPVYVFyd8
[2] similarity=0.657 response_type=clarifying question
    historical customer message: @AppleSupport is iMessage down ?
    historical AppleSupport reply: @330822 We don't show any current issues with iMessage, but we'd like to find out more about what you're experiencing. What's going on?
[3] similarity=0.646 response_type=DM handoff
    historical customer message: @AppleSupport my iMessage app store disappeared https://t.co/e61dVYevJ1
    historical AppleSupport reply: @540328 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this with you there. https://t.co/GDrqU22YpT",Messaging & Communication,direct_instruction,AUTO-HANDLE,5,5,4,5,,,,,
907059,IOS 11.0.3 causes my phone to freeze more than my blackberry did in 2010. @115858 @AppleSupport,Thanks for reaching out! We'd like to take a closer look at this with you -- could you send us a DM with a bit more detail so we can help further?,"[1] similarity=1.000 response_type=DM handoff
    historical customer message: IOS 11.0.3 causes my phone to freeze more than my blackberry did in 2010. @115858 @AppleSupport
    historical AppleSupport reply: @335373 We'd be happy to look into this with you. Send us a DM to get started. https://t.co/GDrqU22YpT
[2] similarity=0.304 response_type=direct instruction/link
    historical customer message: Serious bug with iOS 11 that causes a boot loop. It keeps hitting iPhones in the middle east. Even with iOS 11.1.1 @AppleSupport
    historical AppleSupport reply: @691419 We want to be sure you can use your iPhone after updating it. Check out the troubleshooting steps outlined here under ""If your device turns on but gets stuck during start up"": https://t.co/8MvHMFZ83h Let us know if this helps you.
[3] similarity=0.274 response_type=DM handoff
    historical customer message: @115858 IOS 11 causes my iPhone 7 to turn off at 30%!!!! I was out and needed my phone and it went OFF ?! NEVER had problems before it
    historical AppleSupport reply: @579651 We'd like to look into this with you! Join us in DM with the exact version of iOS 11 that your iPhone 7 is running. https://t.co/GDrqU22YpT",Battery & Performance,dm_handoff,ESCALATE,4,5,3,5,,,,,
